Score,Decision
0.2826,1
0.2259,1
0.2413,1
0.155,0
0.1248,0
0.132,0
0.4084,1
0.3887,1
0.3926,1
0.1914,0
0.1472,0
0.156,0
0.1398,0
0.0693,0
0.0606,0
0.1458,0
0.0727,0
0.0798,0
0.0877,1
0.1805,1
0.2233,1
0.0858,0
0.1736,0
0.1267,1
0.1518,1
0.118,1
0.1272,0
0.1447,1
0.1855,0
0.1456,0
0.2097,0
0.1674,0
0.2076,0
0.3111,0
0.0856,1
0.1495,1
0.1238,1
0.0479,0
0.1675,0
0.1953,0
0.0783,0
0.2215,0
0.2107,0
0.0729,0
0.0701,0
0.1391,0
0.0667,0
0.1419,0
0.1513,0
0.1318,0
0.3918,0
0.19,0
0.1687,1
0.1961,0
0.2806,0
0.2955,0
0.4511,0
0.1894,0
0.1617,1
0.3687,0
0.1938,0
0.1366,1
0.157,0
0.1484,1
0.25,0
0.1683,0
0.2592,0
0.1538,1
0.1549,1
0.1715,1
0.1898,1
0.196,1
0.0476,0
0.1092,0
0.085,1
0.1023,1
0.0268,1
0.0325,0
0.2234,0
0.0551,0
0.0552,1
0.0822,1
0.0392,0
0.1188,0
0.1479,1
0.3087,1
0.3,1
0.1743,0
0.2456,0
0.2566,1
0.2649,1
0.1944,1
0.2278,0
0.2708,1
0.2544,0
0.2899,0
0.3462,0
0.2487,0
0.2881,0
0.2856,1
0.1347,1
0.1553,1
0.185,1
0.1419,0
0.387,0
0.2509,1
0.252,0
0.3246,0
0.2818,0
0.2238,0
0.2373,0
0.2449,0
0.2463,0
0.1659,1
0.2415,0
0.2467,0
0.3972,1
0.2837,1
0.292,1
0.3188,1
0.342,0
0.3569,0
0.2278,1
0.2824,0
0.2339,1
0.363,1
0.3159,1
0.2515,1
0.2673,1
0.2659,1
0.3203,0
0.2392,1
0.2949,0
0.2478,1
0.2603,1
0.3048,1
0.3109,1
0.2851,1
0.1495,0
0.0878,0
0.0928,1
0.1422,1
0.0874,1
0.0798,1
0.1623,1
0.1835,0
0.1052,1
0.1274,1
0.1248,0
0.0768,0
0.1086,1
0.1523,1
0.1649,1
0.1726,0
0.1497,0
0.1225,1
0.1373,1
0.1051,1
0.1104,1
0.1316,1
0.1563,0
0.1386,0
0.1665,0
0.144,0
0.1414,0
0.1537,1
0.1076,1
0.0982,1
0.1279,1
0.173,0
0.1034,1
0.2627,0
0.1186,0
0.1608,1
0.2982,0
0.1029,1
0.1042,0
0.0987,0
0.1135,1
0.2663,1
0.1466,0
0.1423,0
0.2703,1
0.1671,1
0.1499,1
0.5014,1
0.1684,1
0.3279,0
0.1562,1
0.1369,0
0.1276,1
0.2606,1
0.1804,0
0.14,1
0.4663,1
0.1548,1
0.163,1
0.1632,1
0.3205,0
0.1349,1
0.1653,1
0.1594,1
0.194,1
0.1613,1
0.0366,0
0.0556,0
0.0932,1
0.0982,1
0.0267,1
0.0388,1
0.0729,1
-0.0128,0
0.0381,1
0.0728,1
0.0422,0
0.0955,0
0.2112,0
0.1591,0
0.2407,0
0.2219,0
0.2081,0
0.2155,0
0.153,0
0.2691,1
0.1172,1
0.1156,0
0.11,0
0.1309,0
0.182,1
0.1332,0
0.152,0
0.1533,0
0.1513,0
0.1252,0
0.1197,0
0.1378,0
0.1646,0
0.1749,0
0.1585,0
0.2424,0
0.1027,0
0.2604,0
0.1957,0
0.1852,0
0.231,0
0.1737,0
0.1828,0
0.1744,0
0.1038,0
0.1725,0
0.2122,0
0.1264,1
0.1898,0
0.1405,0
0.0941,0
0.1832,0
0.1597,0
0.1266,0
0.1182,0
0.1291,0
0.1536,0
0.1513,0
0.1707,0
0.1775,0
0.0811,0
0.1835,0
0.2523,0
0.1821,0
0.1796,0
0.1726,0
0.3168,0
0.1965,0
0.1743,0
0.1514,0
0.2836,0
0.1674,0
0.1944,0
0.1958,0
0.1984,1
0.1928,0
0.2126,0
0.145,1
0.1945,0
0.1826,1
0.1844,0
0.2114,0
0.1869,0
0.1992,1
0.1724,0
0.1724,1
0.1884,0
0.2005,0
0.2089,0
0.2078,0
0.2014,0
0.1753,1
0.1814,0
0.1893,1
0.052,1
0.0477,1
0.0239,1
0.0549,1
0.0459,1
0.0679,1
0.0584,1
0.1037,1
0.1742,0
0.0996,0
0.1215,0
0.1998,0
0.1433,0
0.111,0
0.2364,1
0.1161,0
0.0353,1
0.0558,0
0.1217,0
0.2456,1
0.1235,1
0.1287,0
0.1486,0
0.1491,0
0.0291,0
0.3785,1
0.3961,1
0.0682,0
0.0896,1
0.0899,1
0.0861,1
0.2879,0
0.0047,0
0.2648,0
0.0908,0
0.4008,1
0.1489,0
0.0953,0
0.1464,0
0.109,0
0.1002,0
0.0805,0
0.1025,0
0.0979,1
0.1798,0
0.0936,0
0.1075,0
0.0766,0
0.1133,0
0.1101,0
0.0812,0
0.2533,1
0.1191,0
0.0975,0
0.0758,0
0.0666,0
0.0503,0
0.0705,0
0.1473,0
0.1363,0
0.0723,0
0.0659,0
0.1818,0
0.2719,1
0.1498,0
0.1494,0
0.2965,0
0.1141,0
0.1269,0
0.0668,0
0.1192,1
0.1704,0
0.1377,1
0.0603,1
0.192,0
0.1343,1
0.1573,0
0.1786,0
0.1359,0
0.0995,1
0.0523,0
0.1397,1
0.0905,0
0.1747,0
0.121,0
0.1969,0
0.1533,0
0.1548,1
0.0835,0
0.1806,1
0.038,1
-0.014,1
0.0061,1
0.0087,1
0.0071,1
-0.003,1
-0.0097,1
0.002,1
0.1388,0
0.0742,0
0.1087,0
0.1682,0
0.1107,0
0.0861,0
0.2156,1
0.1104,0
0.0239,1
0.0385,0
0.1037,0
0.2311,1
0.1147,1
0.1379,0
0.1391,0
0.1348,0
0.0196,0
0.3756,1
0.3957,1
0.0466,0
0.0623,1
0.0676,1
0.0534,1
0.2744,0
-0.015,0
0.2482,0
0.0773,0
0.3745,1
0.1583,0
0.0836,0
0.1069,0
0.0927,0
0.0811,0
0.0717,0
0.085,0
0.0826,1
0.1629,0
0.0754,0
0.0844,0
0.0573,0
0.0891,0
0.094,0
0.0721,0
0.2399,1
0.119,0
0.074,0
0.058,0
0.0329,0
0.0331,0
0.1006,0
0.1608,0
0.126,0
0.0779,0
0.0504,0
0.1436,0
0.2543,1
0.1349,0
0.1256,0
0.2789,0
0.1014,0
0.1153,0
0.0476,0
0.0995,1
0.1543,0
0.1216,1
0.054,1
0.1697,0
0.0995,1
0.1375,0
0.166,0
0.1163,0
0.0758,1
0.049,0
0.1168,1
0.0876,0
0.1459,0
0.1142,0
0.1709,0
0.1279,0
0.1469,1
0.0774,0
0.1555,1
0.0071,1
-0.0421,1
-0.0133,1
-0.0149,1
-0.0152,1
-0.0276,1
-0.03,1
-0.0181,1
0.1248,0
0.1183,0
0.1207,0
0.1518,0
0.1391,0
0.1047,0
0.2454,1
0.144,0
0.0747,1
0.0992,0
0.1462,0
0.1898,1
0.222,1
0.2559,0
0.1508,0
0.1417,0
0.1237,0
0.4095,1
0.4164,1
0.1034,0
0.1276,1
0.1529,1
0.1021,1
0.2965,0
0.0298,0
0.224,0
0.1082,0
0.4172,1
0.2405,0
0.114,0
0.1879,0
0.1758,0
0.1477,0
0.0911,0
0.087,0
0.1329,1
0.178,0
0.1129,0
0.0668,0
0.1341,0
0.1447,0
0.1034,0
0.1081,0
0.2126,1
0.1383,0
0.1351,0
0.1461,0
0.1183,0
0.0927,0
0.1542,0
0.2513,0
0.2207,0
0.132,0
0.0824,0
0.1606,0
0.274,1
0.202,0
0.1647,0
0.3133,0
0.144,0
0.1752,0
0.095,0
0.1498,1
0.1992,0
0.192,1
0.1243,1
0.1824,0
0.1622,1
0.1459,0
0.1709,0
0.1608,0
0.1756,1
0.1159,0
0.1565,1
0.1532,0
0.1312,0
0.1246,0
0.1516,0
0.1492,0
0.1681,1
0.1295,0
0.1823,1
0.0753,1
0.029,1
0.0398,1
0.0524,1
0.0405,1
0.0848,1
0.0615,1
0.125,1
